master_protein,0h_1_total,0h_2_total,0h_3_total,6h_1_total,6h_2_total,6h_3_total,6h_4_total,23h_1_total,23h_2_total,23h_3_total,0h_1_OOPS,0h_2_OOPS,0h_3_OOPS,6h_1_OOPS,6h_2_OOPS,6h_3_OOPS,6h_4_OOPS,23h_1_OOPS,23h_2_OOPS,23h_3_OOPS
Q7L014,0.476363339,0.469883763,0.401661041,0.390556504,0.417202001,0.33176698,0.363325681,0.440782912,0.376840342,0.39218961,1.328400939,1.471794134,1.642172573,0.857085381,1.07875568,1.265975681,0.627284235,0.964487702,1.259460142,1.458701267
Q7L0Y3,1.072756739,0.873205676,0.943771085,0.708689514,0.697501745,0.683994782,0.741485892,0.300852651,0.30951099,0.259801364,0.791882668,0.785285482,0.964767815,1.04076512,1.214436057,1.0436354,0.826314547,0.215754188,0.265903098,0.61845302
Q7L1Q6,0.268170385,0.249961986,0.399275384,0.793875733,0.750315601,0.769596175,0.845707698,0.50844807,0.524570924,0.379737739,0.702319451,0.669501273,0.866069996,0.884335493,0.782443293,0.685514888,0.718785048,0.749498952,0.733329298,0.97500994
Q7L2E3,0.312033484,0.291499039,0.233348575,0.026651987,-0.005120993,0.037624673,-0.029127456,-0.007778621,-0.02021907,-0.208814228,0.532527044,0.553193894,0.728352858,0.69425833,0.654908631,0.668254785,0.44572733,0.484190597,0.502320026,0.38826697
Q7L2J0,-0.282526152,-0.27530541,-0.202552684,-0.281158684,-0.281922296,-0.245680106,-0.198377296,-0.264929124,-0.251002438,-0.208560134,0.390055339,0.412393573,0.384344433,0.653394488,0.32257221,0.508341219,0.141757135,0.66067225,0.591051112,0.465228419
Q7L311,0.02650963,-0.41582213,-0.46732089,-0.681440048,-0.831855306,-0.77827043,-0.740426825,-0.706289418,-0.806985872,-0.644719911,-0.76309157,-0.616557801,-1.038340773,-0.754109338,-0.51741886,-0.63765104,-0.706965583,-1.150191458,-0.842343826,-0.79559085
Q7L4I2,-0.610920291,-0.36674038,-0.634671948,-0.890223773,-0.77069881,-0.765070932,-0.549378532,-0.274125761,-0.909140416,-0.424521703,0.803445456,0.837902676,0.944808595,0.316894033,0.525881894,0.458647496,-0.025847721,0.380480887,0.814666463,1.182812921
Q7L576,0.093430939,0.081022427,0.056971024,0.227912065,0.126051755,0.24028433,0.194043154,0.058639779,0.155187159,0.296213194,0.124136778,0.216195394,0.181938429,-0.224073048,-0.204989654,-0.015504932,0.34362444,0.289733846,0.100884455,0.150283936
Q7L7X3,-0.942308715,-1.152213974,-1.016101055,-0.988295896,-1.066665111,-1.162983392,-0.898318892,-1.021075444,-1.095032166,-1.311242041,-0.125400126,-0.131130974,-0.251401687,-0.776390786,-0.556258602,-0.656347134,-0.884752702,-0.742344337,-0.368161756,-0.263786285
Q7L8L6,0.360510557,0.315278141,0.312066695,-0.142026951,-0.032050118,-0.137245831,0.042490642,-0.220734744,-0.302497892,0.048091354,-1.137215876,-0.876476233,-1.098713391,-0.826365427,-0.412034111,-0.59645018,-0.747249178,-1.187558311,-1.466246756,-1.318978071
Q7L9L4,0.213840908,0.377197174,0.506489586,0.636343219,0.761542135,0.79307326,0.608603414,0.618499749,0.72634386,0.373075672,0.090590041,0.06637986,-0.148899148,-0.104295693,-0.423605187,-0.393312728,-0.26859558,-0.056953979,-0.18798799,-0.161159673
Q7RTP6,-0.704406919,-0.648061158,-0.897397789,-0.877467766,-0.991034379,-0.873644662,-0.910169449,-0.949414459,-0.696372067,-0.680983455,-1.405003812,-1.664123484,-2.325221921,-2.060916146,-1.767884593,-1.646968802,-1.790904401,-1.407499253,-2.033197849,-2.466968102
Q7RTV0,0.716654367,0.664534325,0.685712332,0.693029373,0.612052761,0.685974991,0.68969263,0.605219467,0.717555843,0.652093269,-0.684703672,-0.529553759,-0.620349956,-0.787661898,-1.077795723,-0.954942725,-1.079426412,-0.46751602,-0.662694315,-0.423113813
Q7Z2T5,-1.734909008,-1.622802826,-1.670604489,-1.863313671,-1.640870575,-1.600821578,-1.676566131,-1.3309481,-1.597532507,-1.152003048,-0.912114168,-0.845681146,-0.594038679,-0.899372286,-1.01491852,-0.962678374,-1.201761955,-0.949032871,-0.967874708,-0.65031362
Q7Z2W4,-0.122717836,-0.190726881,-0.21746625,-0.274416127,-0.258900018,-0.289721397,-0.22004034,-0.181405066,-0.162453578,-0.21465296,0.247505671,0.180842505,0.153811497,0.076557778,0.039214917,0.032326716,-0.213454025,0.167044941,0.202068396,0.268470022
Q7Z3K3,-0.348278829,-0.29255261,-0.426678906,-0.505614445,-0.41109451,-0.445071222,-0.40687282,-0.47066117,-0.538248953,-0.315986638,-0.329183155,-0.519493721,-0.40970102,-0.473107531,-0.497828132,-0.390701515,-0.247533964,-0.424128153,-0.409384419,-0.710761866
Q7Z417,0.149836396,0.066650372,0.111624211,0.176377829,0.142738583,0.177567484,0.24840434,0.125306231,-0.01560589,-0.309618908,0.025878632,0.034646089,0.029186838,0.605173529,0.451026406,0.368764645,0.245787674,0.566070405,0.583449566,0.161184005
Q7Z460,-0.018642406,-0.037556469,-0.077404504,-0.107016057,-0.150614516,-0.108429483,-0.064140604,-0.058404694,0.007138777,0.001603932,0.217055816,0.266989858,0.246281541,-0.490351266,-0.346063323,-0.41778811,-0.346953268,-0.281910053,-0.348301964,-0.383251939
Q7Z4V5,0.857666677,0.681301298,0.711518388,0.682853534,0.65113915,0.649121651,0.729883314,0.573397276,0.68858367,0.82067902,0.134850187,0.360575826,0.167213965,1.06162026,0.989654973,0.857912375,1.019928801,2.026754373,2.198555533,2.155552137
Q7Z569,-1.037951386,-0.869240721,-1.224786936,-0.429783032,-0.547504669,-0.63691458,-0.449097472,-0.436112943,-0.115823968,-0.255491598,-1.7412872,-1.475513919,-1.871046027,-1.35575058,-1.280926242,-1.388095019,-1.464992792,-1.129842813,-1.228402259,-1.339212555
Q7Z5K2,0.508840411,0.433977224,0.600729817,0.491297773,0.54592673,0.607682577,0.636961969,0.301997193,0.612673399,0.630866867,-0.754572891,-0.306637007,-0.526134615,-0.939664992,-0.885150645,-1.108089227,-0.845863689,-0.937197735,-0.772950491,-0.697422719
Q7Z5L9,-0.349300985,-0.021243814,-0.118351113,-0.074764827,0.014839529,-0.048429795,0.076225953,-0.004473477,0.010957096,-0.176940949,-0.478252794,-0.56297676,-0.275591153,-0.325318684,-0.315784999,-0.336930258,-0.110433693,-0.203063731,-0.25598809,-0.986639143
Q7Z6E9,-0.102243082,-0.039430948,-0.397585994,-0.083234971,0.008856619,0.039653734,-0.118847257,-0.191626751,-0.237130264,1.41147003,0.195518973,0.313442736,0.39849265,0.204085265,0.344739445,0.27653867,0.034441004,0.477236908,0.629475948,0.549895854
Q7Z6Z7,-0.401013124,-0.400197507,-0.403819687,-0.232449135,-0.30558628,-0.249608604,-0.284273636,-0.135887509,-0.15361713,-0.058813238,-0.272804136,-0.500336932,-0.53798236,-0.804295096,-0.78085407,-0.593098165,-0.363607353,-0.491066466,-0.509030724,-0.288492798
Q7Z739,0.215259836,0.174486521,0.125929582,0.284407304,0.293051814,0.35665915,0.315911159,0.230908531,0.246487541,0.14548029,0.038322731,0.263571727,0.322476335,0.536150841,0.372135803,0.218692106,0.038339312,0.568211685,0.578171773,0.28152847
Q7Z7H8,0.769765704,0.703886643,0.762901646,0.415728611,0.391094787,0.208408192,0.507020638,0.585980828,0.625556028,-1.049561643,0.69078138,0.655115523,0.62462424,0.986720373,1.041256949,0.681384639,0.780948221,0.126214971,0.390761726,0.396937727
Q86SF2,-0.030112694,-0.01301661,0.023004736,-0.501694076,-0.485382957,-0.499848303,-0.571596572,-0.381929051,-0.366116705,-0.637066338,-0.159534256,-0.379754936,-0.194291051,0.172180975,-0.123956896,-0.193498155,0.217932962,0.588412631,0.719433887,0.521856822
Q86SQ0,-0.35497531,-0.291960006,-0.407328423,-0.549962561,-0.468553327,-0.462188593,-0.225124282,-0.361806267,-0.121986849,-0.451115913,0.234709758,0.217508327,0.239400132,-0.352399371,-0.261162987,-0.125928922,-0.135728466,0.165163983,0.268687486,-1.096700473
Q86SX6,0.893243099,0.725900946,0.851856594,0.756329076,0.85788266,0.712324868,0.87044403,0.657970174,0.595315639,0.800064932,-0.56177615,-0.848731243,-0.023634274,2.084877193,2.413022813,2.331052829,2.157776821,-0.881702622,-1.036782186,-0.10464542
Q86TB9,-0.452988885,-0.310444882,-0.330858648,-0.377060671,-0.324082119,-0.376888924,-0.490676576,-0.171409717,-0.284404341,-0.543479931,-0.848807858,-0.845819647,-0.886445187,-0.576111036,-0.903244438,-0.812156813,-0.974797934,-0.661255845,-0.502057413,-0.575378715
Q86TU7,-1.12145795,-1.317664389,-1.400206694,-1.180157539,-1.145146304,-1.221877081,-1.131946518,-1.280107919,-1.345506425,-1.310565514,-1.666325142,-1.429121014,-1.106957385,-0.883162058,-1.088919101,-0.722665031,-1.29611588,-1.029678651,-0.743365824,-1.023274145
Q86U42,0.568938632,0.522499277,0.480720487,0.327191936,0.450432865,0.2228657,0.356553143,0.411035569,0.396886461,0.337632223,2.678251691,2.43090513,2.109072697,1.567265894,1.235129046,1.375063406,0.840577234,1.540758892,1.549674871,1.611298036
Q86U86,-0.675522174,-0.681613718,-0.750649295,-0.80000008,-0.687976784,-0.929095332,-0.922945864,-0.735216604,-0.645434052,-0.679235792,0.196810361,0.238354374,-0.096249351,0.15932577,0.192423159,-0.170024501,0.296793069,0.448909893,0.30651956,0.201050138
Q86UE4,-0.02581273,-0.26876716,-0.389819111,-0.291463608,-0.250651979,-0.330457894,-0.375893895,-0.220783914,-0.315132776,0.028769895,0.162640982,0.009602016,0.507330582,0.64666694,0.364659791,0.439549069,0.087325667,0.799114908,0.767967524,0.854822978
Q86UE8,0.494074083,0.5324754,0.516559444,0.344561759,0.495139669,0.427738378,0.528750106,0.604498119,0.598155591,0.330772387,-0.466280153,-0.994809502,-1.236627997,-1.167305491,-1.174011038,-1.089620205,-1.087569585,-1.27274464,-1.231137226,-1.012402239
Q86UK7,-0.711972197,-0.677479918,-1.019175079,-0.80381647,-0.794959949,-0.875629307,-0.809300843,-0.583670132,-0.696502562,-0.61810818,-1.351720388,-1.223786577,-1.288816274,-1.048058491,-1.423370507,-1.130665571,-1.282896012,-0.955384869,-0.985853641,-1.503037357
Q86UU0,-0.509876705,-0.48367434,-0.826949694,0.748395396,0.263966362,0.100051014,0.434959489,0.133930138,0.131123454,0.075263523,-0.158731197,0.011932076,-0.418331325,-0.362055157,-0.333535401,-0.697706164,-0.357698779,0.108053346,0.082003966,-0.25607132
Q86UU1,-0.11829509,-0.120202294,-0.207288405,-0.156850166,-0.243550008,-0.163808025,-0.051921668,-0.031369338,-0.079794727,0.155727644,0.037388646,-0.186650358,-0.329234983,-0.46309599,-0.563739738,-0.413196152,-0.517809491,-0.285692629,-0.366908002,-0.734164417
Q86V48,0.116850709,0.154084219,0.038731298,-0.199554617,-0.160877634,-0.112850905,-0.153823759,-0.058629247,-0.133323455,-0.052103837,-0.217892523,-0.257573639,-0.497131993,-0.575489319,-0.560123311,-0.656765367,-0.434437443,-0.478966718,-0.636896912,-1.006781061
Q86VI3,-0.163287243,-0.219044531,-0.299550481,-0.483885571,-0.491988617,-0.438178668,-0.360609932,-0.74848221,-0.67295454,-0.178934212,0.013065872,-0.005381667,-0.020023881,0.056076264,0.170399347,0.246158292,0.22504144,-0.491006387,-0.48846826,-0.500756416
Q86VP6,0.432481195,0.475479776,0.581931012,0.811320569,0.731651426,0.826697309,0.744952628,0.819040174,0.833806805,0.763265966,0.969263431,0.820727532,0.434846915,0.628587441,0.714967802,0.66629765,1.197014785,1.000347119,1.08624719,0.844233586
Q86VS8,-1.020311227,-0.967072535,-1.147225953,-0.775732475,-0.955346667,-0.927623945,-0.921135869,-0.907912092,-0.945123532,-0.712138659,-1.419359105,-1.56297676,-1.399222502,-1.274220695,-1.751884114,-1.207216436,-1.402708514,-1.234583645,-1.087921035,-1.458089951
Q86VY4,-0.110560977,-0.112707758,0.000891614,-0.143262477,-0.184667448,-0.020484493,-0.125041822,0.12317815,0.040966307,0.10946364,0.418987631,0.519763671,0.190793226,0.093819325,0.109669116,0.095180754,-0.364462139,0.376851067,0.442021524,0.570151353
Q86W92,-0.326050084,-0.235604373,-0.236122571,-0.183293834,-0.011728173,-0.131023651,-0.177518691,-0.24848594,-0.277229984,-0.432595825,-0.764312641,-0.644113523,-0.699172228,-0.654450835,-0.630706147,-0.885901081,-0.463814601,-0.794773618,-0.502132485,-0.962373864
Q86WJ1,0.886579369,1.082215427,0.961391546,0.662783086,0.920644167,0.910699762,0.966871218,0.967188448,1.001978303,0.832277581,-1.2052343,-1.018656244,-0.629228108,-1.208368148,-1.181135472,-0.928189997,-1.19783892,-1.28319359,-0.919649552,-0.85553339
Q86WX3,-0.162330232,0.093144987,-0.094103567,-0.194324871,-0.127067182,-0.076199626,-0.049982887,0.260210666,0.029064483,0.249151738,0.007174033,0.238354374,-0.045453499,-0.099722964,-0.171171086,-0.269176428,-0.598259323,0.032067446,0.075046416,0.072765144
Q86X29,-1.162330232,-1.552981376,-2.094103567,-1.539374851,-1.694174318,-1.594270243,-1.811454655,-2.176050104,-1.762591753,-1.555452573,-0.64705113,-0.522230418,-0.347026291,-1.290162239,-1.499496952,-1.088209256,-1.177416202,-0.811961551,-1.621744687,-1.516799258
Q86X51,0.186354322,0.156542492,0.238694613,0.467355017,0.474482603,0.48346896,0.610392249,0.494666106,0.52920186,0.488691708,0.028182309,-0.110588419,-0.02740165,0.193832633,0.077598796,0.237220088,0.11609172,0.000347119,-0.049397963,-0.060783723
Q86X55,0.137316416,0.108188868,-0.06608919,0.108921803,0.02349789,0.155709441,0.126894875,0.153788607,0.103906654,0.277324946,0.318760184,0.448250495,0.518761923,0.14428066,0.117755086,0.027593369,0.50101778,0.703259878,0.432404,0.471631353
Q86XI2,-0.236767266,-0.605028124,-0.497402229,-0.507578632,-0.740149747,-0.726181918,-0.671862539,-0.544741765,-0.573366195,-0.550651586,0.036921376,-0.217201924,0.019606576,-0.343223482,-0.367671741,-0.22881869,-0.259878363,-0.093923239,-0.473514756,-0.404516594
Q86XP3,0.375001883,0.284277013,0.296994578,0.384800418,0.340020602,0.414595632,0.364085547,0.380180339,0.386480819,0.204413424,0.369744112,0.458084855,0.416403682,0.347570737,0.196341636,0.158263604,-0.05354778,0.52329241,0.64110499,0.518950293
Q86XZ4,-0.837089403,-0.819427754,-0.803632903,-0.823459053,-0.728290663,-0.765947151,-0.82396226,-0.755445929,-0.778158908,-0.783332314,-0.714487141,-0.703959719,-0.771861417,-0.522860566,-0.658816148,-0.616140812,-0.902600703,-0.469432374,-0.340212509,-0.499048073
Q86Y56,-0.087452947,-0.175343849,-0.091929195,0.227086978,0.160088079,0.119889761,0.226076734,0.180915785,0.30113644,0.093897579,0.287281952,0.314563011,0.15051151,-0.337518048,-0.225557491,-0.217591435,-0.050286833,-0.255373695,-0.123684387,0.233471616
Q86Y91,0.016778092,0.144834464,0.056838331,-2.495833425,-2.062077842,-2.888453347,-2.283152322,-1.139338326,-1.127505773,-2.076912131,-0.014455983,0.265688668,0.25974058,-0.50589093,-0.067857486,-0.688055994,-0.148733448,-0.464964834,-0.459015187,-1.192108261
Q86YP4,-0.1706455,-0.082234444,-0.160123696,-0.224294687,-0.185736309,-0.145489013,-0.23706844,-0.264210292,-0.331252441,-0.262670823,-1.496400141,-1.235049925,-1.534449883,-0.974660413,-1.035215934,-0.970455724,-0.858968676,-1.400169711,-1.065782058,-1.677535088
Q8IU81,-1.073892267,-1.256263844,-1.48112669,-1.021590336,-1.211538741,-1.236376651,-1.143959035,-0.992418985,-1.019083313,-0.947168998,-1.717440458,-1.588243519,-1.347026291,-1.7267329,-1.805923954,-1.318615361,-1.44625623,-1.433034345,-1.396279431,-1.691340888
Q8IVF2,0.069473414,0.050790974,-0.072364516,-0.275577848,-0.169204445,-0.244597158,-0.243300858,0.625390671,0.488591761,0.31785026,0.360362876,0.570559367,0.266840377,-0.192251848,-0.246441481,-0.259425222,-0.251721761,0.89022281,0.92245278,0.535523292
